team,total_goals_scored,total_goals_received,fee,total_matches,season,league
1. FC Kaiserslautern,24,54,5967000,34,all,all
1. FC Köln,255,350,101442000,211,all,all
1. FC Nürnberg,140,234,17118000,136,all,all
1. FC Union Berlin,57,65,8010000,41,all,all
1. FSV Mainz 05,411,487,143164000,313,all,all
AC Cesena (1940-2018),36,73,8865000,38,all,all
AC Chievo Verona,209,335,39328000,228,all,all
AC Milan,409,318,635952000,273,all,all
ACF Fiorentina,411,340,309144000,273,all,all
AFC Bournemouth,241,330,248100000,190,all,all
AS Livorno Calcio,39,77,4338000,38,all,all
AS Monaco,399,267,632755000,228,all,all
AS Nancy Lorraine,29,52,2070000,38,all,all
AS Roma,519,273,705580000,273,all,all
AS Saint-Étienne,279,260,74790000,228,all,all
Amiens SC,99,144,29042000,104,all,all
Angers SCO,209,241,39105000,190,all,all
Arminia Bielefeld,4,15,900000,7,all,all
Arsenal FC,639,403,862796000,350,all,all
Aston Villa FC,240,392,350530000,235,all,all
Atalanta BC,241,235,104006000,190,all,all
Athletic Club Bilbao,393,374,101520000,312,all,all
Atlético Madrid,523,211,901855000,311,all,all
Bayer 04 Leverkusen,550,404,390457000,313,all,all
Bayern München,825,223,672800000,313,all,all
Benevento,43,104,31132000,45,all,all
Blackburn Rovers FC,48,78,18500000,38,all,all
Bologna FC,252,347,164824000,235,all,all
Bolton Wanderers FC,46,77,14040000,38,all,all
Bor. Mönchengladbach,498,387,221190000,313,all,all
Borussia Dortmund,686,358,624258000,313,all,all
Brescia Calcio,35,79,16790000,38,all,all
Brighton & Hove Albion FC,119,182,247204000,122,all,all
Burnley FC,194,277,132720000,197,all,all
CA Osasuna,158,268,24400000,160,all,all
CD Leganés,137,200,41985000,152,all,all
Cagliari Calcio,272,383,142766000,235,all,all
Calcio Catania,34,66,7535000,38,all,all
Cardiff City FC,66,143,87333000,76,all,all
Carpi,37,57,270000,38,all,all
Chelsea FC,642,371,1313110000,350,all,all
Crystal Palace FC,308,383,252489000,274,all,all
Cádiz CF,8,10,9360000,9,all,all
Córdoba CF,22,68,675000,38,all,all
Deportivo Alavés,161,212,35513000,161,all,all
Dijon FCO,164,247,37395000,152,all,all
EA Guingamp,210,291,8447000,190,all,all
ES Troyes AC,60,142,270000,76,all,all
Eintracht Braunschweig,29,60,1620000,34,all,all
Eintracht Frankfurt,389,425,158316000,279,all,all
Elche CF,72,120,7646000,83,all,all
Empoli,166,232,28359000,152,all,all
Everton FC,493,442,685888000,350,all,all
FC Augsburg,384,483,106854000,313,all,all
FC Barcelona,843,271,1270150000,311,all,all
FC Crotone,80,141,15435000,83,all,all
FC Ingolstadt 04,69,99,12735000,68,all,all
FC Internazionale Milano,463,284,775194000,273,all,all
FC Lorient,147,195,55325000,124,all,all
FC Metz,142,252,32985000,152,all,all
FC Nantes,225,271,55683000,227,all,all
FC Schalke 04,466,438,237740000,313,all,all
Fortuna Düsseldorf,124,189,19180000,102,all,all
Frosinone,64,145,8960000,76,all,all
Fulham FC,179,292,188500000,160,all,all
GFC Ajaccio,37,58,0,38,all,all
Genoa CFC,312,397,220125000,273,all,all
Getafe CF,289,356,86968000,274,all,all
Girona FC,87,112,17060000,76,all,all
Girondins de Bordeaux,286,279,91300000,228,all,all
Granada CF,235,381,70882000,236,all,all
Hamburger SV,255,395,147470000,238,all,all
Hannover 96,293,409,81878000,238,all,all
Hellas Verona,57,56,36399000,45,all,all
Hertha BSC,352,428,191610000,279,all,all
Huddersfield Town AFC,50,134,96710000,76,all,all
Hull City AFC,108,184,107411000,114,all,all
Juventus,551,197,1111327000,273,all,all
Leeds United FC,14,17,112820000,8,all,all
Leicester City FC,354,312,511610000,236,all,all
Levante UD,304,427,54900000,274,all,all
Lille OSC,283,250,233190000,228,all,all
Liverpool FC,688,382,899318000,350,all,all
Manchester City FC,808,312,1374947000,349,all,all
Manchester United FC,615,352,1218910000,349,all,all
Middlesbrough FC,27,53,43160000,38,all,all
Montpellier HSC,283,274,55418000,228,all,all
Málaga CF,245,295,34579000,228,all,all
Newcastle United FC,357,472,389543000,312,all,all
Norwich City FC,186,328,101501000,190,all,all
Nîmes Olympique,96,121,26100000,76,all,all
OGC Nice,304,267,140110000,228,all,all
Olympique Lyonnais,432,251,306770000,228,all,all
Olympique de Marseille,374,261,232425000,227,all,all
Palermo,124,197,36385000,114,all,all
Paris Saint-Germain,582,173,832590000,227,all,all
Parma,196,252,160494000,159,all,all
Queens Park Rangers FC,115,199,108114000,114,all,all
RB Leipzig,282,162,286280000,143,all,all
RC Celta Vigo,392,464,109575000,313,all,all
RC Lens,46,75,17100000,46,all,all
RCD Espanyol,331,428,113675000,304,all,all
RCD La Coruña,208,328,23985000,190,all,all
RCD Mallorca,83,137,10080000,76,all,all
Rayo Vallecano,235,357,11880000,190,all,all
Reading FC,43,73,9738000,38,all,all
Real Betis,332,440,195400000,275,all,all
Real Madrid,782,317,909680000,312,all,all
Real Sociedad,467,413,117315000,313,all,all
Real Valladolid CF,158,226,18725000,161,all,all
Real Zaragoza,37,62,1620000,38,all,all
SC Bastia,102,142,315000,114,all,all
SC Freiburg,345,449,103007000,279,all,all
SC Paderborn 07,68,139,2430000,68,all,all
SD Eibar,274,332,42311000,237,all,all
SD Huesca,50,80,11025000,47,all,all
SPAL Ferrara,110,192,50248000,114,all,all
SS Lazio,486,345,242118000,273,all,all
SSC Napoli,548,286,625106000,273,all,all
SV Darmstadt 98,66,116,4680000,68,all,all
Sevilla FC,490,395,550000000,311,all,all
Sheffield United FC,43,53,144190000,46,all,all
Southampton FC,406,421,489170000,312,all,all
SpVgg Greuther Fürth,26,60,3465000,34,all,all
Spezia,11,15,5265000,7,all,all
Sporting Gijón,82,134,900000,76,all,all
Stade Brestois 29,49,59,21240000,38,all,all
Stade Malherbe Caen,185,278,25205000,190,all,all
Stade Rennais FC,284,272,225404000,228,all,all
Stade de Reims,172,204,42840000,152,all,all
Stoke City FC,280,374,186680000,266,all,all
Sunderland AFC,235,344,207850000,228,all,all
Swansea City FC,306,383,229288000,266,all,all
TSG 1899 Hoffenheim,507,495,195919000,313,all,all
Torino FC,393,381,221920000,273,all,all
Tottenham Hotspur FC,621,383,701270000,350,all,all
Toulouse FC,220,329,49370000,218,all,all
UC Sampdoria,368,407,274531000,273,all,all
UD Almería,78,135,0,76,all,all
UD Las Palmas,122,201,8685000,114,all,all
US Lecce,52,85,5535000,38,all,all
US Sassuolo Calcio,368,423,260173000,273,all,all
Udinese Calcio,301,407,167964000,273,all,all
Valencia CF,467,392,484268000,313,all,all
VfB Stuttgart,322,413,122690000,245,all,all
VfL Wolfsburg,463,450,456530000,313,all,all
Villarreal CF,390,309,319100000,275,all,all
Watford FC,212,305,273155000,190,all,all
Werder Bremen,448,551,130652000,313,all,all
West Bromwich Albion FC,293,391,192444000,274,all,all
West Ham United FC,404,461,472821000,312,all,all
Wigan Athletic FC,89,135,20622000,76,all,all
Wolverhampton Wanderers FC,146,177,295120000,122,all,all
Évian TG FC,41,62,2025000,38,all,all
1. FC Kaiserslautern,24,54,5967000,34,2011/12,Bundesliga
1. FC Köln,39,75,5292000,34,2011/12,Bundesliga
1. FC Köln,34,40,7560000,34,2014/15,Bundesliga
1. FC Köln,38,42,13300000,34,2015/16,Bundesliga
1. FC Köln,51,42,7520000,34,2016/17,Bundesliga
1. FC Köln,35,70,36000000,34,2017/18,Bundesliga
1. FC Köln,51,69,16200000,34,2019/20,Bundesliga
1. FC Köln,7,12,15570000,7,2020/21,Bundesliga
1. FC Nürnberg,38,49,3735000,34,2011/12,Bundesliga
1. FC Nürnberg,39,47,2430000,34,2012/13,Bundesliga
1. FC Nürnberg,37,70,6588000,34,2013/14,Bundesliga
1. FC Nürnberg,26,68,4365000,34,2018/19,Bundesliga
1. FC Union Berlin,41,58,6660000,34,2019/20,Bundesliga
1. FC Union Berlin,16,7,1350000,7,2020/21,Bundesliga
1. FSV Mainz 05,47,51,9810000,34,2011/12,Bundesliga
1. FSV Mainz 05,42,44,3762000,34,2012/13,Bundesliga
1. FSV Mainz 05,52,54,12785000,34,2013/14,Bundesliga
1. FSV Mainz 05,45,47,8213000,34,2014/15,Bundesliga
1. FSV Mainz 05,46,42,12465000,34,2015/16,Bundesliga
1. FSV Mainz 05,44,55,26284000,34,2016/17,Bundesliga
1. FSV Mainz 05,38,52,14900000,34,2017/18,Bundesliga
1. FSV Mainz 05,46,57,27000000,34,2018/19,Bundesliga
1. FSV Mainz 05,44,65,26145000,34,2019/20,Bundesliga
1. FSV Mainz 05,7,20,1800000,7,2020/21,Bundesliga
AC Cesena (1940-2018),36,73,8865000,38,2014/15,Serie A
AC Chievo Verona,34,54,3510000,38,2013/14,Serie A
AC Chievo Verona,28,41,7740000,38,2014/15,Serie A
AC Chievo Verona,43,45,5535000,38,2015/16,Serie A
AC Chievo Verona,43,61,11320000,38,2016/17,Serie A
AC Chievo Verona,36,59,2655000,38,2017/18,Serie A
AC Chievo Verona,25,75,8568000,38,2018/19,Serie A
AC Milan,57,49,38810000,38,2013/14,Serie A
AC Milan,56,50,15215000,38,2014/15,Serie A
AC Milan,49,43,92043000,38,2015/16,Serie A
AC Milan,57,45,26600000,38,2016/17,Serie A
AC Milan,56,42,175032000,38,2017/18,Serie A
AC Milan,55,36,169020000,38,2018/19,Serie A
