Limites de Gastos,Promedio Victorias,Promedio Derrotas,Promedio Empates,Promedio Puntos Obtenidos,Promedio Goles Recibidos,Promedio Goles Anotados
(0-17M],10.0,14.0,9.0,39.0,50.0,39.0
(17M-34M],12.0,13.0,9.0,46.0,48.0,46.0
(34M-52M],14.0,12.0,8.0,50.0,46.0,50.0
(52M-69M],15.0,11.0,9.0,55.0,45.0,55.0
(69M-87M],16.0,9.0,7.0,55.0,38.0,55.0
(87M-104M],16.0,9.0,7.0,55.0,37.0,55.0
(104-122M],19.0,8.0,7.0,65.0,38.0,65.0
(122-139M],18.0,8.0,7.0,59.0,34.0,59.0
(139-156M],19.0,9.0,8.0,66.0,37.0,66.0
(156-174M],23.0,5.0,10.0,73.0,32.0,73.0
(174-191M],19.0,9.0,8.0,61.0,41.0,61.0
(191-209M],24.0,6.0,8.0,82.0,38.0,82.0
(209-226M],17.0,3.0,8.0,60.0,22.0,60.0
(226-244M],24.0,7.0,6.0,66.0,34.0,66.0
(244-261M],25.0,6.0,7.0,86.0,38.0,86.0
(279-296M],32.0,2.0,4.0,106.0,27.0,106.0
(313-331M],26.0,3.0,9.0,70.0,25.0,70.0
(331-348M],28.0,1.0,9.0,99.0,29.0,99.0
